"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","ENTREZID"
"1","ENSMUSG00000002985",2571.2957771569,-7.1636773657328,0.278707533454992,-25.703206787877,1.07627264294145e-145,1.3454484309411e-141,"Apoe","apolipoprotein E","11816"
"2","ENSMUSG00000027562",2126.08486978832,-6.50634817769169,0.297497474042861,-21.870263600135,4.98685655672006e-106,3.11703469077787e-102,"Car2","carbonic anhydrase 2","12349"
"3","ENSMUSG00000049422",1864.31295743217,-4.89053139050611,0.227465377439315,-21.5001133164138,1.55308284183798e-102,6.47169620193888e-99,"Chchd10","coiled-coil-helix-coiled-coil-helix domain containing 10","103172"
"4","ENSMUSG00000032011",1346.43158023198,6.7512113488857,0.319225310355387,21.148734545421,2.83443583164034e-99,8.85832058283399e-96,"Thy1","thymus cell antigen 1, theta","21838"
"5","ENSMUSG00000000409",1413.1392794772,4.97206661142888,0.236984763689705,20.980532815768,9.87804997699772e-98,2.46971005524897e-94,"Lck","lymphocyte protein tyrosine kinase","16818"
"6","ENSMUSG00000076498",3112.73255334535,10.7115613700023,0.520646229973411,20.5735886545253,4.7330765623944e-94,9.86136501774874e-91,NA,NA,NA
"7","ENSMUSG00000057729",1505.85905093184,-6.844530883518,0.340866625549841,-20.0797918320026,1.10858342892729e-89,1.97977163500286e-86,"Prtn3","proteinase 3","19152"
"8","ENSMUSG00000030742",1290.98550179248,4.95749665629792,0.254781131928898,19.4578641627254,2.49987872913089e-84,3.90637299910816e-81,"Lat","linker for activation of T cells","16797"
"9","ENSMUSG00000024399",1863.3389422481,5.96071153167393,0.306749571986589,19.4318495477299,4.15130842815098e-84,5.76616740670171e-81,"Ltb","lymphotoxin B","16994"
"10","ENSMUSG00000025357",962.941423847332,5.13444467231753,0.266265118611406,19.2832042705934,7.43264626119626e-83,9.29155109112144e-80,"Dgka","diacylglycerol kinase, alpha","13139"
"11","ENSMUSG00000069919",952.722917736433,-6.9354098284139,0.359773010308075,-19.2771820834339,8.35033433917049e-83,9.48977541581548e-80,"Hba-a1","hemoglobin alpha, adult chain 1","15122"
"12","ENSMUSG00000056290",1701.48549654974,9.6981307452241,0.507040061907798,19.1269516430984,1.50628774779984e-81,1.56917526127048e-78,"Ms4a4b","membrane-spanning 4-domains, subfamily A, member 4B","60361"
"13","ENSMUSG00000040314",1112.47626906825,-7.7389972403255,0.41113857116835,-18.8233305825169,4.86294446956062e-79,4.67628221645979e-76,"Ctsg","cathepsin G","13035"
"14","ENSMUSG00000026395",1709.61469890271,4.10432571813579,0.220672760852856,18.5991497195821,3.26444454468754e-77,2.91491580379564e-74,"Ptprc","protein tyrosine phosphatase, receptor type, C","19264"
"15","ENSMUSG00000009350",1879.29621951571,-5.86641251670555,0.32141492683179,-18.2518359509037,2.00071062503026e-74,1.66739223490022e-71,"Mpo","myeloperoxidase","17523"
"16","ENSMUSG00000024677",761.204361049086,7.5660994288806,0.41698631524699,18.1447187886706,1.41356697108176e-73,1.10443754409332e-70,"Ms4a6b","membrane-spanning 4-domains, subfamily A, member 6B","69774"
"17","ENSMUSG00000031304",1779.28259686869,4.03496731857232,0.230920723964146,17.4733876167771,2.28514547353918e-68,1.68038844498314e-65,"Il2rg","interleukin 2 receptor, gamma chain","16186"
